source_rel_path,audio_16k_rel_path,spectrogram_rel_path,embedding_rel_path,duration_sec,sr,spectrogram_shape,embedding_shape,model,input_length_sec,embedding_key
1237702.mp3,audio_16k/1237702.wav,spectrograms/1237702.mp3.npz,embeddings/1237702.mp3.npz,184.1110625,16000,11507x96,61x500,MSD_musicnn_big,3.0,penultimate
1238194.mp3,audio_16k/1238194.wav,spectrograms/1238194.mp3.npz,embeddings/1238194.mp3.npz,152.711875,16000,9545x96,51x500,MSD_musicnn_big,3.0,penultimate
1253484.mp3,audio_16k/1253484.wav,spectrograms/1253484.mp3.npz,embeddings/1253484.mp3.npz,219.480875,16000,13718x96,73x500,MSD_musicnn_big,3.0,penultimate
1253899.mp3,audio_16k/1253899.wav,spectrograms/1253899.mp3.npz,embeddings/1253899.mp3.npz,323.16,16000,20198x96,108x500,MSD_musicnn_big,3.0,penultimate
1263750.mp3,audio_16k/1263750.wav,spectrograms/1263750.mp3.npz,embeddings/1263750.mp3.npz,378.4931875,16000,23656x96,126x500,MSD_musicnn_big,3.0,penultimate
1288183.mp3,audio_16k/1288183.wav,spectrograms/1288183.mp3.npz,embeddings/1288183.mp3.npz,152.1894375,16000,9512x96,50x500,MSD_musicnn_big,3.0,penultimate
1292591.mp3,audio_16k/1292591.wav,spectrograms/1292591.mp3.npz,embeddings/1292591.mp3.npz,199.73225,16000,12484x96,66x500,MSD_musicnn_big,3.0,penultimate
1293206.mp3,audio_16k/1293206.wav,spectrograms/1293206.mp3.npz,embeddings/1293206.mp3.npz,183.484125,16000,11468x96,61x500,MSD_musicnn_big,3.0,penultimate
1303104.mp3,audio_16k/1303104.wav,spectrograms/1303104.mp3.npz,embeddings/1303104.mp3.npz,147.0955625,16000,9194x96,49x500,MSD_musicnn_big,3.0,penultimate
1307891.mp3,audio_16k/1307891.wav,spectrograms/1307891.mp3.npz,embeddings/1307891.mp3.npz,162.94725,16000,10185x96,54x500,MSD_musicnn_big,3.0,penultimate
